date,quintile,n_donors,seroprev_est,seroprev_lo95,seroprev_hi95
2021-04-21,Q1,4717.0,2.7,2.22,3.18
2021-04-21,Q2,3646.0,2.68,2.13,3.23
2021-04-21,Q3,2981.0,3.3,2.63,3.96
2021-04-21,Q4,2302.0,3.75,2.94,4.55
2021-04-21,Q5,1403.0,4.58,3.48,5.67
2021-05-28,Q1,4413.0,3.08,2.56,3.61
2021-05-28,Q2,3733.0,3.35,2.75,3.95
2021-05-28,Q3,3024.0,3.67,2.97,4.36
2021-05-28,Q4,2493.0,4.75,3.89,5.61
2021-05-28,Q5,1459.0,5.65,4.47,6.84
2021-06-21,Q1,4474.0,4.26,3.66,4.87
2021-06-21,Q2,3568.0,4.31,3.63,5.0
2021-06-21,Q3,3038.0,3.07,2.44,3.71
2021-06-21,Q4,2403.0,4.66,3.8,5.52
2021-06-21,Q5,1422.0,6.95,5.62,8.27
2021-07-18,Q1,2136.0,3.87,3.02,4.71
2021-07-18,Q2,1845.0,3.59,2.73,4.45
2021-07-18,Q3,1558.0,3.03,2.16,3.89
2021-07-18,Q4,1170.0,5.72,4.36,7.08
2021-07-18,Q5,732.0,4.62,3.03,6.22
2021-08-20,Q1,2433.0,3.27,2.52,4.02
2021-08-20,Q2,2065.0,3.59,2.77,4.42
2021-08-20,Q3,1627.0,2.94,2.1,3.78
2021-08-20,Q4,1240.0,6.35,4.98,7.72
2021-08-20,Q5,680.0,4.18,3.15,5.21
2021-09-19,Q1,2619.0,3.74,2.99,4.49
2021-09-19,Q2,2117.0,4.08,3.21,4.95
2021-09-19,Q3,1573.0,4.14,3.14,5.15
2021-09-19,Q4,1273.0,5.71,4.43,6.99
2021-09-19,Q5,750.0,4.02,2.57,5.48
2021-10-18,Q1,689.0,4.86,3.85,5.86
2021-10-18,Q2,3200.0,3.98,3.05,4.91
2021-10-18,Q3,530.0,3.76,2.85,4.67
2021-10-18,Q4,163.0,3.53,2.59,4.47
2021-10-18,Q5,2009.0,4.41,3.36,5.46
2021-11-18,Q1,2477.0,4.54,3.69,5.39
2021-11-18,Q2,1932.0,4.01,3.11,4.91
2021-11-18,Q3,1484.0,4.78,3.67,5.9
2021-11-18,Q4,1261.0,6.31,4.97,7.64
2021-11-18,Q5,780.0,6.18,4.48,7.89
2021-12-16,Q1,1734.0,4.29,3.3,5.28
2021-12-16,Q2,1306.0,4.54,3.38,5.7
2021-12-16,Q3,1196.0,5.24,3.95,6.52
2021-12-16,Q4,834.0,6.0,4.36,7.63
2021-12-16,Q5,604.0,8.93,6.8,11.06
2021-12-21,Q1,1755.0,5.35,4.25,6.45
2021-12-21,Q1,1755.0,5.35,4.25,6.45
2021-12-21,Q2,1575.0,5.13,4.01,6.24
2021-12-21,Q2,1575.0,5.13,4.01,6.24
2021-12-21,Q3,1218.0,6.37,4.99,7.75
2021-12-21,Q3,1218.0,6.37,4.99,7.75
2021-12-21,Q4,525.0,9.32,7.5,11.14
2021-12-21,Q4,525.0,9.32,7.5,11.14
2021-12-21,Q5,6827.0,6.55,5.95,7.15
2021-12-21,Q5,525.0,8.43,6.08,10.77
2021-12-22,Q1,4403.0,5.06,4.39,5.74
2021-12-22,Q2,3588.0,5.13,4.39,5.86
2021-12-22,Q3,3113.0,5.69,4.86,6.51
2021-12-22,Q4,2326.0,8.2,7.08,9.33
2021-12-22,Q5,1433.0,9.32,7.87,10.77
2021-12-28,Q1,914.0,5.98,4.41,7.56
2021-12-28,Q2,708.0,6.22,4.38,8.05
2021-12-28,Q3,699.0,5.26,3.57,6.96
2021-12-28,Q4,482.0,9.69,7.06,12.32
2021-12-28,Q5,304.0,11.68,8.14,15.22
2022-01-04,Q1,2285.0,4.95,4.03,5.86
2022-01-04,Q1,2285.0,4.85,3.93,5.77
2022-01-04,Q2,2001.0,7.82,6.6,9.03
2022-01-04,Q2,2001.0,7.42,6.22,8.62
2022-01-04,Q3,1722.0,6.99,5.76,8.23
2022-01-04,Q3,1722.0,6.82,5.59,8.06
2022-01-04,Q4,1378.0,6.6,5.29,7.91
2022-01-04,Q4,1378.0,6.96,5.58,8.34
2022-01-04,Q5,845.0,10.27,8.24,12.3
2022-01-04,Q5,845.0,10.07,7.97,12.16
2022-01-11,Q1,2347.0,9.91,8.69,11.14
2022-01-11,Q1,2466.0,9.65,8.45,10.86
2022-01-11,Q2,1852.0,10.46,9.05,11.87
2022-01-11,Q2,1943.0,10.59,9.2,11.97
2022-01-11,Q3,1592.0,8.6,7.21,9.99
2022-01-11,Q3,1652.0,8.6,7.26,9.94
2022-01-11,Q4,1308.0,8.97,7.41,10.53
2022-01-11,Q4,1360.0,9.25,7.73,10.76
2022-01-11,Q5,593.0,13.38,10.7,16.06
2022-01-11,Q5,628.0,13.19,10.56,15.81
2022-01-16,Q1,8641.0,11.27,10.58,11.95
2022-01-16,Q2,7120.0,11.47,10.71,12.23
2022-01-16,Q3,5795.0,11.26,10.44,12.08
2022-01-16,Q4,4622.0,12.35,11.41,13.28
2022-01-16,Q5,2622.0,15.18,13.84,16.51
2022-01-19,Q1,1848.0,12.11,10.61,13.6
2022-01-19,Q2,1367.0,11.32,9.62,13.02
2022-01-19,Q3,1090.0,11.41,9.55,13.27
2022-01-19,Q4,820.0,14.25,11.96,16.53
2022-01-19,Q5,558.0,15.81,12.79,18.82
2022-01-27,Q1,2279.0,16.46,14.9,18.01
2022-01-27,Q2,1996.0,13.69,12.16,15.23
2022-01-27,Q3,1457.0,15.97,14.08,17.86
2022-01-27,Q4,1149.0,18.69,16.5,20.88
2022-01-27,Q5,629.0,20.17,17.19,23.15
2022-02-04,Q1,1591.0,20.31,18.28,22.34
2022-02-04,Q1,1591.0,20.68,18.6,22.75
2022-02-04,Q2,1187.0,20.7,18.35,23.05
2022-02-04,Q2,1187.0,20.84,18.47,23.21
2022-02-04,Q3,1029.0,19.92,17.49,22.35
2022-02-04,Q3,1029.0,20.83,18.3,23.37
2022-02-04,Q4,784.0,18.65,15.94,21.37
2022-02-04,Q4,784.0,20.06,17.23,22.9
2022-02-04,Q5,441.0,23.14,19.24,27.03
2022-02-04,Q5,441.0,24.69,20.73,28.65
2022-02-11,Q1,1926.0,22.39,20.53,24.24
2022-02-11,Q1,1741.0,22.9,20.91,24.88
2022-02-11,Q2,1619.0,20.06,18.09,22.04
2022-02-11,Q2,1349.0,20.07,17.92,22.22
2022-02-11,Q3,1315.0,22.13,19.86,24.39
2022-02-11,Q3,1153.0,23.22,20.81,25.63
2022-02-11,Q4,1088.0,23.84,21.32,26.37
2022-02-11,Q4,937.0,24.54,21.87,27.2
2022-02-11,Q5,672.0,24.78,21.6,27.97
2022-02-11,Q5,597.0,25.59,22.29,28.89
2022-02-14,Q1,7647.0,22.39,21.44,23.34
2022-02-14,Q2,6110.0,22.1,21.01,23.15
2022-02-14,Q3,5156.0,22.83,21.67,23.99
2022-02-14,Q4,3977.0,24.48,23.15,25.81
2022-02-14,Q5,2380.0,28.9,27.13,30.67
2022-02-18,Q1,2236.0,22.04,20.31,23.77
2022-02-18,Q2,2015.0,23.24,21.36,25.13
2022-02-18,Q3,1585.0,22.82,20.7,24.94
2022-02-18,Q4,1195.0,23.44,21.01,25.87
2022-02-18,Q5,732.0,29.8,26.52,33.08
2022-02-25,Q1,2253.0,23.26,21.49,25.02
2022-02-25,Q2,1670.0,23.06,21.03,25.09
2022-02-25,Q3,1474.0,23.36,21.19,25.54
2022-02-25,Q4,1122.0,28.63,26.04,31.23
2022-02-25,Q5,640.0,33.98,30.43,37.54
2022-03-04,Q1,1717.0,25.37,23.2,27.53
2022-03-04,Q2,1527.0,25.05,24.98,27.28
2022-03-04,Q3,1300.0,26.34,27.59,30.2
2022-03-04,Q4,961.0,26.44,29.28,32.27
2022-03-04,Q5,582.0,36.93,34.6,38.57
2022-03-12,Q1,1830.0,24.11,22.09,26.13
2022-03-12,Q2,1471.0,26.46,24.21,28.71
2022-03-12,Q3,1243.0,29.41,26.86,31.96
2022-03-12,Q4,907.0,28.55,25.65,31.45
2022-03-12,Q5,572.0,31.9,28.22,35.57
2022-03-16,Q1,6872.0,25.93,24.87,27.0
2022-03-16,Q1,6872.0,25.93,24.87,27.0
2022-03-16,Q2,5665.0,26.16,25.01,27.31
2022-03-16,Q2,5665.0,26.16,25.01,27.31
2022-03-16,Q3,4651.0,28.89,27.59,30.2
2022-03-16,Q3,4651.0,28.89,27.59,30.2
2022-03-16,Q4,3574.0,30.78,29.29,32.28
2022-03-16,Q4,3574.0,30.78,29.29,32.28
2022-03-16,Q5,2146.0,36.61,34.63,38.58
2022-03-16,Q5,2146.0,36.61,34.63,38.58
2022-03-19,Q1,1932.0,27.6,25.55,29.66
2022-03-19,Q2,1495.0,25.81,23.63,28.0
2022-03-19,Q3,1209.0,31.86,29.29,34.43
2022-03-19,Q4,903.0,35.62,32.6,38.64
2022-03-19,Q5,539.0,41.61,37.67,45.54
2022-03-27,Q1,1605.0,26.25,24.04,28.46
2022-03-27,Q2,1296.0,27.48,25.02,29.94
2022-03-27,Q3,971.0,27.73,24.91,30.56
2022-03-27,Q4,864.0,33.46,30.29,36.62
2022-03-27,Q5,479.0,35.89,31.69,40.1
2022-04-04,Q1,1612.0,28.85,26.6,31.1
2022-04-04,Q2,1365.0,30.89,28.41,33.38
2022-04-04,Q3,1208.0,32.45,29.78,35.12
2022-04-04,Q4,883.0,33.58,30.52,36.65
2022-04-04,Q5,611.0,42.09,38.27,45.91
2022-04-11,Q1,2010.0,32.9,30.8,34.99
2022-04-11,Q2,1758.0,25.6,33.32,37.88
2022-04-11,Q3,1495.0,33.99,31.57,36.41
2022-04-11,Q4,1112.0,35.86,33.1,38.63
